room_temperature(K),298.15
water_volume(mL),500.0
solute_molarmass(g/mol),74.551
solute_mass(g),3.9934
R1(Omega),9.51
R2(Omega),9.51
t1(s),283.647
t2(s),365.075
current(A),1.43
time(s),Delta_T(K)
0.662,0.001
1.301,0.001
2.084,0.001
2.724,0.002
3.507,0.001
4.147,0.001
4.930,0.001
5.571,0.001
6.354,0.002
6.994,0.002
7.777,0.002
8.417,0.002
9.200,0.002
9.840,0.002
10.624,0.002
11.263,0.002
12.045,0.002
12.686,0.003
13.469,0.002
14.109,0.003
14.893,0.002
15.533,0.002
16.315,0.003
16.956,0.002
17.738,0.003
18.378,0.003
19.161,0.004
19.802,0.004
20.584,0.003
21.225,0.004
22.008,0.004
22.649,0.004
23.431,0.004
24.072,0.004
24.854,0.003
25.495,0.004
26.277,0.004
26.918,0.004
27.700,0.004
28.341,0.006
29.124,0.004
29.764,0.005
30.546,0.004
31.186,0.004
31.970,0.005
32.610,0.005
33.393,0.005
34.033,0.005
34.816,0.005
35.457,0.005
36.239,0.005
36.878,0.006
37.662,0.005
38.302,0.005
39.084,0.006
39.725,0.006
40.508,0.005
41.149,0.005
41.931,0.006
42.572,0.006
43.354,0.006
43.994,0.006
44.777,0.006
45.418,0.006
46.201,0.006
46.841,0.006
47.624,0.006
48.264,0.007
49.046,0.007
49.687,0.007
50.470,0.007
51.110,0.008
51.893,0.007
52.533,0.007
53.316,0.007
53.957,0.007
54.739,0.008
55.379,0.008
56.163,0.007
56.802,0.007
57.585,0.008
58.226,0.008
59.009,0.008
59.648,0.007
60.432,0.008
61.072,0.008
61.855,0.008
62.495,0.008
63.277,0.008
63.919,0.008
64.701,0.008
65.341,0.009
66.124,0.009
66.764,0.009
67.546,0.009
68.187,0.009
68.970,0.009
69.610,0.009
70.393,0.009
71.034,0.009
71.816,0.009
72.457,0.009
73.240,0.009
73.879,0.009
74.663,0.009
75.303,0.009
76.085,0.009
76.726,0.010
77.508,0.010
78.149,0.010
78.931,0.010
